"geounit"	"Abbrev."	"short description"	"geomorphologie_beschreibung"
"alluvial deposits"	"AD"	"recent and pleistocenic deposits of silt, sand and gravels"	"Alluviale Ablagerung"
"colluvial deposits"	"CD"	"footslope deposits"	"Kolluvium"
"calcareous sedimentary rock"	"CSR"	"limestones and dolomites"	"karbonatisches Festgestein"
"debris cones"	"DC"	"recent conic deposits from debris flows and gulleys"	"gemischte Kegel"
"glaciolacustrine deposits"	"GD"	"(fine) sand deposits with dropstones"	"Glaziolakustrine Ablagerung"
"ice-marginal sediments"	"IMS"	"clast-supported gravels"	"Eisrandsedimente"
"intermediate sedimentary rock"	"ISR"	"silt- and sandstones"	"gemischtes Sedimentgestein"
"mire deposits"	"MrD"	"recent and pleistocenic silt and peat deposits"	"Moorablagerung"
"mixed deposits"	"MxD"	"pleistocenic deposits from debris flows and gulleys"	"gemischte Ablagerung"
"siliceous bedrock"	"SB"	"rhyolite and rhyodazite tuffs and ignimbrites"	"silikatisches Festgestein"
"Scree"	"SC"	"recent and pleistocenic blocky deposits"	"Blockschutt"
"slope debris"	"SD"	"recent and pleistocen debris on slopes"	"Hangschutt"
"sub-glacial till"	"SGT"	"compacted sub-glacial sediment"	"Grundmoraene"
"silicious sedimentary rock"	"SSR"	"sandstones and siltstones"	"silikatisches Sedimentgestein"
"till in general"	"TG"	"undifferentiated glacial sediment"	"Moraene undifferenziert"
